month,region,product,sales_rep,quantity,unit_price,revenue,target,returns,discount_pct
2023-07,West,Trial Pack,REP015,76,823.68,62599.53,26400,3259.63,0.85
2024-12,West,Standard Pack,REP001,80,3100.49,248039.03,174000,10413.17,6.0
2024-04,East,Bulk Pack,REP020,68,7920.23,538575.7,480000,29311.77,6.76
2024-06,West,Premium Pack,REP014,13,4273.95,55561.34,55000,3041.35,6.6
2023-07,West,Trial Pack,REP008,51,721.61,36801.98,36000,536.53,11.33
2023-06,South,Bulk Pack,REP018,94,7879.41,740664.53,568000,54907.47,10.91
2024-03,West,Premium Pack,REP008,89,4833.02,430138.42,310000,20190.74,14.48
2024-01,North,Trial Pack,REP015,49,697.89,34196.72,14400,2112.66,2.98
2024-12,East,Economy Pack,REP017,12,1603.05,19236.64,63000,932.53,13.89
2023-09,West,Premium Pack,REP008,16,4746.35,75941.55,285000,2252.84,10.03
2023-05,East,Bulk Pack,REP008,90,8929.31,803637.95,592000,24618.77,14.58
2023-03,North,Trial Pack,REP014,31,805.46,24969.13,19200,221.51,6.59
2024-07,North,Bulk Pack,REP004,98,7134.4,699170.76,192000,42260.74,3.43
2023-07,East,Economy Pack,REP002,46,1638.65,75378.09,99000,636.16,6.85
2023-12,West,Bulk Pack,REP011,96,7655.11,734891.02,568000,6470.09,3.42
2024-08,Central,Premium Pack,REP003,74,5016.12,371192.95,90000,14397.24,10.39
2023-10,West,Economy Pack,REP009,56,1438.63,80563.47,100500,6203.05,3.78
2023-02,East,Premium Pack,REP005,60,4305.33,258319.83,55000,10388.16,0.77
2023-05,North,Premium Pack,REP019,6,5046.4,30278.41,205000,1339.26,8.89
2024-11,East,Economy Pack,REP017,42,1440.5,60501.1,118500,1930.35,12.25
2024-04,North,Premium Pack,REP006,84,4311.16,362137.67,145000,9443.36,3.3
2023-03,East,Bulk Pack,REP007,56,9057.26,507206.33,392000,15692.37,14.05
2023-01,East,Bulk Pack,REP018,27,8099.48,218685.83,408000,4512.65,9.9
2024-04,North,Bulk Pack,REP017,6,9191.01,55146.05,168000,2463.01,13.24
2024-11,North,Premium Pack,REP003,23,5338.93,122795.47,60000,8412.22,6.07
2023-01,West,Economy Pack,REP017,76,1628.4,123758.65,51000,50.11,2.41
2024-06,South,Economy Pack,REP016,65,1375.92,89434.88,63000,129.33,7.41
2024-04,West,Economy Pack,REP017,37,1519.14,56208.29,102000,1653.49,3.98
2024-02,Central,Economy Pack,REP008,31,1470.48,45584.8,45000,1833.01,8.65
2023-01,Central,Bulk Pack,REP016,23,8172.81,187974.63,584000,9706.59,2.66
2024-02,Central,Economy Pack,REP009,41,1692.74,69402.48,82500,5367.06,14.45
2023-01,West,Trial Pack,REP001,71,720.68,51168.16,27200,1615.65,12.66
2023-03,South,Standard Pack,REP010,6,2840.3,17041.77,126000,186.26,10.63
2023-07,Central,Standard Pack,REP003,54,3330.37,179839.71,66000,1173.91,0.08
2023-04,Central,Bulk Pack,REP001,12,8484.72,101816.65,200000,413.53,13.3
2024-03,West,Standard Pack,REP002,36,3070.45,110536.28,180000,4117.24,8.14
2024-10,South,Standard Pack,REP017,56,2584.95,144757.27,72000,4171.22,1.91
2023-01,Central,Bulk Pack,REP012,9,7897.44,71076.93,120000,293.87,7.97
2024-03,East,Bulk Pack,REP016,17,9126.89,155157.1,312000,509.75,5.98
2024-07,West,Standard Pack,REP005,94,3416.38,321140.06,96000,11003.91,10.33
2023-01,South,Standard Pack,REP001,38,2765.81,105100.73,171000,1537.55,14.02
2023-01,Central,Trial Pack,REP003,80,815.85,65267.91,48000,3957.04,0.22
2024-02,West,Trial Pack,REP015,98,885.31,86760.43,62400,3291.16,1.47
2024-04,Central,Bulk Pack,REP001,98,8359.46,819226.77,152000,62205.25,13.3
2024-08,South,Standard Pack,REP019,62,3000.94,186058.03,234000,10180.56,9.24
2024-04,South,Premium Pack,REP020,28,5265.75,147441.07,220000,7587.77,6.87
2024-07,East,Trial Pack,REP012,71,876.9,62260.07,39200,4509.38,2.94
2024-01,West,Standard Pack,REP019,39,2852.9,111263.05,51000,3430.43,10.22
2023-02,East,Premium Pack,REP007,72,5289.34,380832.16,190000,1193.87,6.27
2023-04,South,Trial Pack,REP009,28,873.64,24461.93,46400,1431.8,1.92
2024-05,Central,Bulk Pack,REP017,59,8602.09,507523.34,312000,36645.33,7.58
2024-04,North,Trial Pack,REP019,53,692.84,36720.33,56000,2659.67,1.37
2023-07,West,Bulk Pack,REP019,20,7876.27,157525.39,168000,4141.84,10.09
2023-04,Central,Premium Pack,REP007,57,4991.63,284522.94,240000,22669.22,0.84
2023-03,Central,Economy Pack,REP011,22,1710.89,37639.65,27000,2293.04,9.27
2023-06,Central,Standard Pack,REP009,54,3352.71,181046.19,225000,1178.23,1.27
2024-07,Central,Premium Pack,REP020,21,5670.87,119088.33,270000,7177.48,5.64
2024-07,Central,Bulk Pack,REP007,95,7396.94,702709.11,224000,6251.16,7.39
2024-01,South,Bulk Pack,REP020,96,8641.27,829561.69,384000,49511.22,8.75
2024-05,North,Premium Pack,REP006,10,5453.16,54531.64,270000,4231.13,0.65
2024-09,Central,Economy Pack,REP005,40,1524.23,60969.38,43500,367.94,2.49
2024-05,North,Trial Pack,REP003,20,856.9,17138.08,16800,1314.43,0.87
2023-06,West,Bulk Pack,REP008,96,8352.44,801833.86,136000,22666.38,8.75
2023-05,North,Bulk Pack,REP017,77,7542.87,580800.7,304000,6188.32,1.14
2023-06,South,Economy Pack,REP005,51,1688.63,86120.1,28500,6426.13,12.99
2024-01,Central,Premium Pack,REP001,22,5730.91,126080.11,290000,3799.94,11.24
2024-10,East,Economy Pack,REP017,81,1303.58,105590.01,15000,115.49,1.13
2024-05,Central,Trial Pack,REP006,7,813.3,5693.13,49600,430.29,12.74
2024-05,Central,Premium Pack,REP014,5,5681.08,28405.38,65000,519.57,10.08
2023-02,West,Standard Pack,REP002,58,3245.09,188215.02,177000,12831.47,8.28
2023-05,East,Premium Pack,REP017,51,4880.8,248920.99,115000,14020.82,3.19
2023-06,West,Standard Pack,REP006,54,3080.93,166370.0,117000,7384.37,1.37
2023-02,West,Premium Pack,REP006,92,5615.71,516645.04,195000,25711.84,12.94
2023-05,Central,Bulk Pack,REP010,60,8821.02,529261.16,208000,10934.3,6.89
2023-02,Central,Standard Pack,REP013,47,2766.13,130008.16,96000,1331.76,2.28
2024-10,West,Bulk Pack,REP003,71,8036.57,570596.22,328000,7866.01,2.88
2024-07,Central,Trial Pack,REP018,96,763.43,73289.15,24800,520.07,1.81
2023-09,West,Standard Pack,REP014,38,2665.87,101303.2,162000,2606.19,1.38
2024-03,North,Economy Pack,REP016,65,1276.17,82950.9,67500,5350.01,11.22
2024-08,South,Bulk Pack,REP014,92,8529.24,784689.95,280000,2302.8,3.79
2023-07,East,Economy Pack,REP015,22,1476.34,32479.38,36000,272.49,11.06
2023-10,North,Premium Pack,REP007,90,4741.25,426712.14,265000,7961.3,5.14
2023-04,South,Economy Pack,REP009,22,1314.11,28910.51,64500,1289.97,8.8
2023-12,East,Standard Pack,REP009,10,3359.68,33596.83,219000,1534.11,5.34
2024-01,Central,Premium Pack,REP001,57,4402.67,250952.4,395000,7334.97,7.32
2023-11,North,Economy Pack,REP019,35,1459.68,51088.75,67500,4075.88,13.45
2024-08,West,Economy Pack,REP004,83,1642.68,136342.64,90000,8953.47,10.78
2023-11,South,Economy Pack,REP013,48,1367.28,65629.68,52500,1699.44,6.38
2023-01,West,Premium Pack,REP012,51,5310.85,270853.1,115000,6254.12,8.72
2023-11,West,Trial Pack,REP011,7,692.44,4847.06,47200,176.15,8.23
2023-10,West,Standard Pack,REP013,44,3278.89,144271.03,222000,1602.27,0.04
2023-09,East,Economy Pack,REP017,73,1648.78,120360.85,88500,1196.84,10.96
2023-09,South,Bulk Pack,REP003,39,9023.48,351915.67,584000,16173.29,12.63
2023-08,East,Premium Pack,REP005,18,5449.31,98087.5,220000,1288.99,12.22
2024-02,South,Bulk Pack,REP013,46,7741.87,356125.94,392000,12876.05,10.71
2024-07,Central,Premium Pack,REP015,29,4783.04,138708.27,375000,6031.62,13.6
2024-07,East,Economy Pack,REP007,55,1425.71,78413.91,109500,1045.92,13.18
2023-01,West,Economy Pack,REP004,33,1343.25,44327.37,54000,2638.17,0.5
2024-10,South,Standard Pack,REP005,78,2857.87,222914.14,141000,9567.14,5.68
2024-01,West,Trial Pack,REP008,9,796.73,7170.53,61600,414.31,10.8
2024-07,East,Bulk Pack,REP004,30,7404.32,222129.53,624000,14692.51,14.39
2023-08,South,Economy Pack,REP012,94,1538.8,144647.52,106500,1166.38,3.84
2023-08,West,Economy Pack,REP012,72,1630.54,117398.74,69000,6642.31,2.29
2023-09,East,Trial Pack,REP014,44,881.71,38795.04,16000,1399.23,1.7
2024-09,South,Bulk Pack,REP001,67,7547.47,505680.24,392000,24592.01,5.69
2024-09,North,Standard Pack,REP020,61,2554.17,155804.3,150000,1424.27,6.22
2023-11,South,Standard Pack,REP002,95,2957.0,280914.63,156000,738.17,13.69
2024-10,North,Bulk Pack,REP006,92,7547.54,694373.28,304000,32251.6,9.48
2024-06,Central,Premium Pack,REP007,85,5691.61,483786.47,290000,21569.34,12.91
2023-08,North,Premium Pack,REP013,98,5374.94,526744.19,325000,37843.59,3.08
2024-05,Central,Trial Pack,REP016,44,820.99,36123.51,8000,2241.18,6.8
2023-02,West,Premium Pack,REP018,98,5089.46,498767.13,360000,4109.1,5.02
2024-11,East,Standard Pack,REP010,87,3129.6,272275.16,192000,3401.32,10.74
2023-08,North,Premium Pack,REP003,92,4544.17,418063.61,315000,11346.96,8.54
2024-07,North,Bulk Pack,REP015,12,7038.66,84463.91,328000,5782.04,12.45
2023-04,West,Trial Pack,REP014,99,757.76,75018.0,12800,3800.36,11.04
2024-09,East,Trial Pack,REP019,40,834.3,33372.09,8800,2431.15,9.37
2023-11,South,Standard Pack,REP003,91,2580.81,234853.28,87000,11726.67,6.14
2023-09,South,Trial Pack,REP012,90,867.14,78042.79,31200,3043.24,13.42
2024-05,South,Economy Pack,REP017,18,1608.76,28957.66,112500,1467.52,3.87
2024-10,East,Bulk Pack,REP013,91,8439.64,768007.35,632000,56175.06,1.77
2023-04,North,Standard Pack,REP017,41,3136.28,128587.41,108000,9258.49,13.11
2023-08,South,Bulk Pack,REP013,57,7220.89,411590.79,432000,27596.57,6.07
2024-02,South,Bulk Pack,REP011,69,6998.72,482911.46,360000,29785.44,1.02
2023-11,East,Bulk Pack,REP017,63,7513.09,473324.8,504000,18026.12,9.96
2024-10,Central,Premium Pack,REP004,24,4493.02,107832.5,355000,8240.44,2.32
2023-09,South,Standard Pack,REP009,77,2866.39,220711.73,30000,8748.86,10.33
2023-10,North,Economy Pack,REP003,48,1710.46,82102.31,31500,2370.94,1.37
2024-05,Central,Premium Pack,REP010,61,4919.01,300059.53,280000,2081.34,14.37
2024-07,Central,Premium Pack,REP005,84,5523.79,463998.65,170000,33532.77,9.7
2023-09,Central,Standard Pack,REP015,36,3185.02,114660.64,78000,1656.39,8.52
2023-07,Central,Premium Pack,REP019,52,4422.92,229992.0,340000,17373.9,7.11
