month,revenue,MoM_Change_Pct
2023-01,14015500.040000001,
2023-02,20170823.76,43.9
2023-03,17862931.76,-11.4
2023-04,20584187.08,15.2
2023-05,15602083.86,-24.2
2023-06,15662271.94,0.4
2023-07,16455113.09,5.1
2023-08,19909668.19,21.0
2023-09,11889410.91,-40.3
2023-10,15165386.44,27.6
2023-11,10566827.709999999,-30.3
2023-12,17164291.78,62.4
2024-01,16997626.4,-1.0
2024-02,15501920.17,-8.8
2024-03,14600363.74,-5.8
2024-04,13034650.95,-10.7
2024-05,15597707.81,19.7
2024-06,15018813.459999999,-3.7
2024-07,20736460.17,38.1
2024-08,15852458.26,-23.6
2024-09,12983997.23,-18.1
2024-10,16349054.98,25.9
2024-11,16795605.91,2.7
2024-12,13712534.24,-18.4
