month,department,category,budget,actual,variance,variance_pct,approved_by
2024-01,Sales,Personnel,372348.96,483620.45,111271.49,29.88,CFO
2024-01,Sales,Travel,341698.52,330038.87,-11659.65,-3.41,CFO
2024-01,Sales,Software,361123.9,335559.79,-25564.11,-7.08,CFO
2024-01,Sales,Equipment,79327.4,101519.4,22192.0,27.98,Controller
2024-01,Sales,Misc,226460.67,293097.05,66636.38,29.43,CFO
2024-01,Marketing,Personnel,492615.86,607007.38,114391.52,23.22,CFO
2024-01,Marketing,Travel,296369.79,279089.2,-17280.59,-5.83,VP Finance
2024-01,Marketing,Software,432663.25,340601.36,-92061.89,-21.28,CFO
2024-01,Marketing,Equipment,294148.96,251668.03,-42480.93,-14.44,VP Finance
2024-01,Marketing,Misc,55587.24,46927.05,-8660.19,-15.58,CFO
2024-01,Operations,Personnel,382436.61,293052.18,-89384.43,-23.37,VP Finance
2024-01,Operations,Travel,390787.52,419065.22,28277.7,7.24,Controller
2024-01,Operations,Software,351054.96,334670.43,-16384.53,-4.67,Controller
2024-01,Operations,Equipment,448192.78,577976.52,129783.74,28.96,Controller
2024-01,Operations,Misc,295910.08,277544.81,-18365.27,-6.21,VP Finance
2024-01,HR,Personnel,269670.18,210802.12,-58868.06,-21.83,CFO
2024-01,HR,Travel,135822.2,170059.36,34237.16,25.21,VP Finance
2024-01,HR,Software,286329.11,346202.21,59873.1,20.91,Controller
2024-01,HR,Equipment,57356.0,56640.14,-715.86,-1.25,CFO
2024-01,HR,Misc,84471.63,96149.72,11678.09,13.82,VP Finance
2024-01,IT,Personnel,64072.12,53414.62,-10657.5,-16.63,VP Finance
2024-01,IT,Travel,373923.64,451922.29,77998.65,20.86,Controller
2024-01,IT,Software,125183.15,160959.99,35776.84,28.58,Controller
2024-01,IT,Equipment,329988.94,249694.58,-80294.36,-24.33,VP Finance
2024-01,IT,Misc,351347.52,290139.85,-61207.67,-17.42,VP Finance
2024-01,Finance,Personnel,394335.59,425380.79,31045.2,7.87,Controller
2024-01,Finance,Travel,331377.69,342018.67,10640.98,3.21,Controller
2024-01,Finance,Software,449213.9,349077.12,-100136.78,-22.29,CFO
2024-01,Finance,Equipment,307375.41,397389.47,90014.06,29.28,Controller
2024-01,Finance,Misc,54773.34,67037.72,12264.38,22.39,VP Finance
2024-01,Supply Chain,Personnel,146435.16,172836.03,26400.87,18.03,CFO
2024-01,Supply Chain,Travel,263099.23,311728.76,48629.53,18.48,VP Finance
2024-01,Supply Chain,Software,269387.41,208044.06,-61343.35,-22.77,CFO
2024-01,Supply Chain,Equipment,228885.05,224966.35,-3918.7,-1.71,VP Finance
2024-01,Supply Chain,Misc,423481.06,364312.39,-59168.67,-13.97,CFO
2024-02,Sales,Personnel,368282.39,463058.88,94776.49,25.73,Controller
2024-02,Sales,Travel,429526.24,544640.0,115113.76,26.8,Controller
2024-02,Sales,Software,423109.41,484133.23,61023.82,14.42,VP Finance
2024-02,Sales,Equipment,259966.79,323348.54,63381.75,24.38,CFO
2024-02,Sales,Misc,285012.74,263814.94,-21197.8,-7.44,VP Finance
2024-02,Marketing,Personnel,298848.46,271131.66,-27716.8,-9.27,Controller
2024-02,Marketing,Travel,214272.79,255246.4,40973.61,19.12,CFO
2024-02,Marketing,Software,269534.08,234244.18,-35289.9,-13.09,Controller
2024-02,Marketing,Equipment,118799.98,144298.58,25498.6,21.46,VP Finance
2024-02,Marketing,Misc,343768.11,301719.04,-42049.07,-12.23,VP Finance
2024-02,Operations,Personnel,380246.44,344716.39,-35530.05,-9.34,VP Finance
2024-02,Operations,Travel,189500.83,220075.03,30574.2,16.13,CFO
2024-02,Operations,Software,72456.76,76494.72,4037.96,5.57,VP Finance
2024-02,Operations,Equipment,361396.63,420709.67,59313.04,16.41,Controller
2024-02,Operations,Misc,69584.08,67513.6,-2070.48,-2.98,VP Finance
2024-02,HR,Personnel,210059.33,194759.01,-15300.32,-7.28,Controller
2024-02,HR,Travel,331863.96,330194.88,-1669.08,-0.5,Controller
2024-02,HR,Software,470769.89,499420.3,28650.41,6.09,VP Finance
2024-02,HR,Equipment,178451.5,194204.87,15753.37,8.83,Controller
2024-02,HR,Misc,446133.97,351034.08,-95099.89,-21.32,CFO
2024-02,IT,Personnel,250393.83,196108.75,-54285.08,-21.68,Controller
2024-02,IT,Travel,65749.48,74649.45,8899.97,13.54,CFO
2024-02,IT,Software,261648.54,296370.03,34721.49,13.27,VP Finance
2024-02,IT,Equipment,281422.17,303494.92,22072.75,7.84,Controller
2024-02,IT,Misc,203343.57,204827.54,1483.97,0.73,CFO
2024-02,Finance,Personnel,477201.34,360846.05,-116355.29,-24.38,Controller
2024-02,Finance,Travel,304792.17,268478.71,-36313.46,-11.91,CFO
2024-02,Finance,Software,307789.7,259014.61,-48775.09,-15.85,Controller
2024-02,Finance,Equipment,264680.04,324637.57,59957.53,22.65,CFO
2024-02,Finance,Misc,152655.08,191703.02,39047.94,25.58,CFO
2024-02,Supply Chain,Personnel,219666.36,274593.35,54926.99,25.0,CFO
2024-02,Supply Chain,Travel,422656.34,465424.42,42768.08,10.12,Controller
2024-02,Supply Chain,Software,214788.57,233268.01,18479.44,8.6,Controller
2024-02,Supply Chain,Equipment,405900.02,430196.56,24296.54,5.99,VP Finance
2024-02,Supply Chain,Misc,326167.92,257095.11,-69072.81,-21.18,VP Finance
2024-03,Sales,Personnel,132881.21,164140.08,31258.87,23.52,VP Finance
2024-03,Sales,Travel,295925.77,377147.17,81221.4,27.45,CFO
2024-03,Sales,Software,269959.43,215725.82,-54233.61,-20.09,VP Finance
2024-03,Sales,Equipment,326329.24,374448.88,48119.64,14.75,VP Finance
2024-03,Sales,Misc,53228.5,45229.44,-7999.06,-15.03,VP Finance
2024-03,Marketing,Personnel,204470.22,230625.52,26155.3,12.79,CFO
2024-03,Marketing,Travel,367521.59,347940.92,-19580.67,-5.33,VP Finance
2024-03,Marketing,Software,225517.22,269575.29,44058.07,19.54,Controller
