month,department,category,budget,actual,variance_pct
2024-01,Sales,Personnel,372348.96,483620.45,29.88
2024-01,Sales,Equipment,79327.4,101519.4,27.98
2024-01,Sales,Misc,226460.67,293097.05,29.43
2024-01,Marketing,Personnel,492615.86,607007.38,23.22
2024-01,Operations,Equipment,448192.78,577976.52,28.96
2024-01,HR,Travel,135822.2,170059.36,25.21
2024-01,HR,Software,286329.11,346202.21,20.91
2024-01,IT,Travel,373923.64,451922.29,20.86
2024-01,IT,Software,125183.15,160959.99,28.58
2024-01,Finance,Equipment,307375.41,397389.47,29.28
2024-01,Finance,Misc,54773.34,67037.72,22.39
2024-02,Sales,Personnel,368282.39,463058.88,25.73
2024-02,Sales,Travel,429526.24,544640.0,26.8
2024-02,Sales,Equipment,259966.79,323348.54,24.38
2024-02,Marketing,Equipment,118799.98,144298.58,21.46
2024-02,Finance,Equipment,264680.04,324637.57,22.65
2024-02,Finance,Misc,152655.08,191703.02,25.58
2024-02,Supply Chain,Personnel,219666.36,274593.35,25.0
2024-03,Sales,Personnel,132881.21,164140.08,23.52
2024-03,Sales,Travel,295925.77,377147.17,27.45
2024-03,Marketing,Misc,435309.82,556469.8,27.83
2024-03,Operations,Travel,348261.39,422922.87,21.44
2024-03,HR,Equipment,77606.4,96803.95,24.74
2024-03,IT,Personnel,170884.2,220684.78,29.14
2024-03,Supply Chain,Personnel,463425.69,576136.96,24.32
2024-04,Marketing,Personnel,437129.27,564347.23,29.1
2024-04,Operations,Personnel,108286.97,131420.84,21.36
2024-04,HR,Travel,208745.81,256632.15,22.94
2024-04,HR,Misc,173112.92,218076.2,25.97
2024-04,IT,Travel,323928.72,399055.18,23.19
2024-04,Supply Chain,Software,68916.38,88468.72,28.37
2024-05,Sales,Personnel,251315.82,309238.29,23.05
2024-05,Sales,Software,258003.93,326276.81,26.46
2024-05,Marketing,Travel,194299.13,233356.23,20.1
2024-05,IT,Software,154661.12,190915.95,23.44
2024-06,Sales,Personnel,118916.64,153661.17,29.22
2024-06,Sales,Software,206922.75,255807.66,23.62
2024-06,Marketing,Software,453967.35,585086.95,28.88
2024-06,Marketing,Misc,64938.42,84304.32,29.82
2024-06,Operations,Equipment,165248.19,203841.87,23.35
2024-06,Supply Chain,Travel,473641.55,587565.37,24.05
2024-07,Sales,Travel,121075.87,151016.73,24.73
2024-07,Sales,Software,181131.02,220617.31,21.8
2024-07,Marketing,Travel,466397.62,574109.54,23.09
2024-07,Marketing,Software,458258.31,563818.48,23.04
2024-07,Operations,Misc,280322.49,354223.03,26.36
2024-07,HR,Software,356119.53,441569.18,23.99
2024-07,HR,Equipment,112065.35,144564.24,29.0
2024-07,Finance,Equipment,119557.47,146315.76,22.38
2024-07,Supply Chain,Personnel,197095.46,244122.44,23.86
2024-08,Sales,Software,397395.08,505301.55,27.15
2024-08,Marketing,Personnel,86325.49,111291.85,28.92
2024-08,HR,Misc,307257.05,388920.81,26.58
2024-08,IT,Travel,388059.81,497063.49,28.09
2024-08,Finance,Personnel,196027.15,239414.4,22.13
2024-08,Finance,Misc,66844.39,80277.06,20.1
2024-08,Supply Chain,Equipment,161319.12,206171.78,27.8
2024-08,Supply Chain,Misc,242942.68,298622.63,22.92
2024-09,Sales,Personnel,420098.96,539726.96,28.48
2024-09,Marketing,Travel,203825.96,253829.67,24.53
2024-09,Marketing,Misc,219239.02,265721.12,21.2
2024-09,Operations,Travel,332887.77,420823.12,26.42
2024-09,Operations,Equipment,307354.54,393591.17,28.06
2024-09,HR,Software,114809.16,142360.11,24.0
2024-09,HR,Equipment,390550.91,472690.27,21.03
2024-09,IT,Software,445868.59,574676.34,28.89
2024-09,Supply Chain,Software,287663.03,356357.03,23.88
2024-09,Supply Chain,Misc,385867.7,486826.08,26.16
2024-10,Marketing,Personnel,432353.58,556836.36,28.79
2024-10,Marketing,Travel,209601.87,259502.65,23.81
2024-10,Operations,Software,55902.5,67179.25,20.17
2024-10,Operations,Equipment,264304.77,341818.84,29.33
2024-10,HR,Personnel,344002.97,419093.49,21.83
2024-10,IT,Travel,190504.33,238177.32,25.02
2024-10,IT,Equipment,70599.35,89135.73,26.26
2024-10,IT,Misc,354500.94,441520.34,24.55
2024-11,Sales,Software,87612.0,105348.5,20.24
2024-11,Marketing,Travel,482866.14,589801.03,22.15
2024-11,Operations,Misc,404058.52,508269.99,25.79
2024-11,IT,Equipment,411667.44,530465.69,28.86
2024-11,Supply Chain,Software,437650.22,531873.64,21.53
2024-12,Sales,Travel,459804.98,587323.4,27.73
2024-12,Marketing,Travel,341087.1,437840.4,28.37
2024-12,Operations,Software,277969.41,344614.37,23.98
2024-12,HR,Software,220018.23,270540.88,22.96
2024-12,Finance,Travel,111548.65,135500.62,21.47
