month,Budget,Actual,Variance,Variance_Pct
2024-01,9767254.83,9920213.98,152959.15000000002,1.6
2024-02,9880439.51,10125466.1,245026.59,2.5
2024-03,8984128.58,9646763.45,662634.87,7.4
2024-04,7965990.17,8286466.35,320476.18,4.0
2024-05,9462207.39,9703871.13,241663.74,2.6
2024-06,8724720.64,8693515.85,-31204.789999999994,-0.4
2024-07,9213751.2,9592338.62,378587.42,4.1
2024-08,8911204.94,9201401.03,290196.08999999997,3.3
2024-09,10917376.89,11176276.39,258899.5,2.4
2024-10,10028888.790000001,10340953.74,312064.95,3.1
2024-11,10519927.07,10703439.46,183512.39,1.7
2024-12,9073784.25,8943315.66,-130468.58999999997,-1.4
