transaction_id,date,leakage_type,amount_lost,region,product,detected_by,status,recovery_amount
TXN00001,2024-12-22,Billing Delay,46946.36,North,Premium Pack,Customer Complaint,In Progress,19025.33
TXN00002,2024-01-31,Duplicate Invoice,4244.09,Central,Economy Pack,Audit,In Progress,0.0
TXN00003,2024-01-09,Return Abuse,27154.6,Central,Economy Pack,System Flag,In Progress,16047.15
TXN00004,2024-04-12,Duplicate Invoice,3727.11,West,Standard Pack,System Flag,Written Off,0.0
TXN00005,2024-04-29,Pricing Error,1063.52,East,Economy Pack,System Flag,Recovered,174.44
TXN00006,2024-02-24,Pricing Error,23049.18,South,Premium Pack,System Flag,In Progress,0.0
TXN00007,2024-11-25,Unauthorized Discount,16806.68,East,Trial Pack,Customer Complaint,In Progress,0.0
TXN00008,2024-08-18,Pricing Error,9852.05,East,Bulk Pack,Manager Review,In Progress,0.0
TXN00009,2024-04-03,Return Abuse,2771.49,East,Premium Pack,System Flag,Written Off,0.0
TXN00010,2024-08-26,Contract Non-Compliance,6988.35,Central,Bulk Pack,System Flag,Recovered,274.78
TXN00011,2024-12-12,Missed Renewal,10711.74,Central,Standard Pack,Audit,Recovered,3237.62
TXN00012,2024-01-25,Pricing Error,8501.95,North,Standard Pack,Manager Review,Recovered,0.0
TXN00013,2024-08-10,Billing Delay,14203.07,West,Bulk Pack,Manager Review,Recovered,3394.9
TXN00014,2024-06-15,Contract Non-Compliance,12861.09,East,Premium Pack,System Flag,Recovered,0.0
TXN00015,2024-12-09,Return Abuse,27104.74,Central,Bulk Pack,Customer Complaint,In Progress,15028.36
TXN00016,2024-04-21,Missed Renewal,20803.71,South,Premium Pack,Manager Review,In Progress,6580.67
TXN00017,2024-10-26,Missed Renewal,9585.47,Central,Standard Pack,Audit,Recovered,3785.77
TXN00018,2024-10-12,Unauthorized Discount,11221.18,South,Premium Pack,System Flag,Recovered,5918.36
TXN00019,2024-11-08,Pricing Error,17767.82,South,Premium Pack,Manager Review,Written Off,12893.72
TXN00020,2024-05-29,Pricing Error,30390.97,South,Economy Pack,Manager Review,Written Off,0.0
TXN00021,2024-02-15,Billing Delay,37873.7,South,Trial Pack,Customer Complaint,In Progress,0.0
TXN00022,2024-08-12,Duplicate Invoice,20467.31,South,Economy Pack,System Flag,In Progress,0.0
TXN00023,2024-02-26,Contract Non-Compliance,4704.44,Central,Premium Pack,Audit,Recovered,31.01
TXN00024,2024-07-24,Pricing Error,4738.88,North,Trial Pack,Manager Review,Written Off,0.0
TXN00025,2024-02-05,Billing Delay,8609.74,East,Trial Pack,Manager Review,In Progress,454.45
TXN00026,2024-05-01,Pricing Error,686.29,East,Economy Pack,Customer Complaint,Recovered,0.0
TXN00027,2024-06-01,Billing Delay,99091.28,North,Premium Pack,Audit,In Progress,0.0
TXN00028,2024-12-20,Contract Non-Compliance,6138.81,North,Standard Pack,Manager Review,Written Off,0.0
TXN00029,2024-01-31,Return Abuse,4434.78,East,Premium Pack,Audit,In Progress,0.0
TXN00030,2024-02-07,Contract Non-Compliance,4753.55,North,Standard Pack,Manager Review,Written Off,0.0
TXN00031,2024-10-18,Return Abuse,2308.52,East,Premium Pack,Customer Complaint,Recovered,1985.67
TXN00032,2024-05-29,Contract Non-Compliance,10347.85,West,Trial Pack,Audit,Recovered,9800.62
TXN00033,2024-02-24,Missed Renewal,12646.65,South,Standard Pack,Audit,Recovered,7656.1
TXN00034,2024-12-26,Contract Non-Compliance,461.78,East,Economy Pack,Customer Complaint,Recovered,385.78
