month,Incidents,Loss,Recovered,Net_Loss
2024-01,143,1970400.22,677108.82,1293291.4
2024-02,140,2238374.29,679680.91,1558693.38
2024-03,135,2116850.6,822627.08,1294223.52
2024-04,126,1584142.55,450860.9,1133281.65
2024-05,117,1778258.8800000001,810445.63,967813.2500000001
2024-06,95,1395606.11,348901.32,1046704.79
2024-07,125,1875417.8800000001,662981.28,1212436.6
2024-08,143,2366722.36,799421.47,1567300.89
2024-09,118,1912624.36,680010.57,1232613.79
2024-10,135,1969313.48,541897.53,1427415.95
2024-11,104,1530738.76,511891.27999999997,1018847.48
2024-12,119,1775639.9,597250.58,1178389.3199999998
