customer_id,region,segment,last_purchase_date,frequency,monetary_value,recency_days,product_category,channel
CUST0001,West,B2B,2024-08-12,48,24428.4,141,Premium Pack,Online
CUST0002,North,B2C,2024-03-10,12,43737.47,296,Premium Pack,Retail
CUST0003,South,B2C,2024-05-24,36,34682.55,221,Bulk Pack,Retail
CUST0004,East,Enterprise,2024-11-20,15,4532.81,41,Premium Pack,Field Sales
CUST0005,East,B2C,2024-09-10,15,2036.07,112,Bulk Pack,Field Sales
CUST0006,North,B2C,2024-04-11,35,5917.78,264,Economy Pack,Field Sales
CUST0007,South,Enterprise,2024-08-14,20,24283.74,139,Trial Pack,Distributor
CUST0008,Central,Enterprise,2024-07-08,42,46037.72,176,Premium Pack,Retail
CUST0009,South,Enterprise,2024-03-07,19,25038.16,299,Standard Pack,Online
CUST0010,East,B2B,2024-01-30,17,32004.56,336,Trial Pack,Online
CUST0011,West,B2B,2024-02-12,48,25452.28,323,Premium Pack,Retail
CUST0012,West,B2C,2024-06-07,24,49148.8,207,Economy Pack,Field Sales
CUST0013,East,B2C,2024-07-28,38,6015.67,156,Standard Pack,Distributor
CUST0014,Central,B2B,2024-09-22,17,7493.14,100,Premium Pack,Distributor
CUST0015,North,B2B,2024-11-07,26,1572.33,54,Premium Pack,Distributor
CUST0016,East,B2C,2024-08-30,47,25182.09,123,Standard Pack,Distributor
CUST0017,East,Enterprise,2024-10-11,25,7821.75,81,Premium Pack,Distributor
CUST0018,East,Enterprise,2024-06-12,44,11906.01,202,Trial Pack,Online
CUST0019,North,B2B,2024-07-19,28,6868.02,165,Economy Pack,Distributor
CUST0020,South,B2C,2024-10-05,10,7942.62,87,Trial Pack,Distributor
CUST0021,East,B2B,2024-01-12,8,20696.8,354,Economy Pack,Online
CUST0022,Central,B2B,2024-03-11,32,31405.32,295,Premium Pack,Field Sales
CUST0023,South,Enterprise,2024-12-30,4,9128.86,1,Standard Pack,Distributor
CUST0024,Central,Enterprise,2024-12-16,45,2831.68,15,Trial Pack,Retail
CUST0025,North,B2C,2024-09-14,14,3154.82,108,Premium Pack,Field Sales
CUST0026,South,B2C,2024-03-02,9,19742.3,304,Premium Pack,Field Sales
CUST0027,East,B2C,2024-05-19,29,7151.43,226,Economy Pack,Distributor
CUST0028,North,B2C,2024-05-22,10,144884.63,223,Economy Pack,Field Sales
CUST0029,West,B2C,2024-09-12,15,36952.28,110,Economy Pack,Retail
CUST0030,West,B2C,2024-06-17,27,15520.07,197,Trial Pack,Field Sales
CUST0031,South,Enterprise,2024-08-27,49,18332.21,126,Economy Pack,Distributor
CUST0032,South,Enterprise,2024-07-21,35,7897.15,163,Premium Pack,Field Sales
CUST0033,South,B2B,2024-12-18,29,8403.73,13,Standard Pack,Field Sales
CUST0034,East,B2B,2024-12-06,12,42945.32,25,Standard Pack,Distributor
CUST0035,South,B2C,2024-07-01,26,3639.19,183,Bulk Pack,Distributor
