customer_id,region,recency_days,frequency,monetary_value,Segment
CUST0859,West,240,37,111241.02,At Risk - High Value
CUST0947,Central,242,41,97770.16,At Risk - High Value
CUST0654,Central,166,34,96266.36,At Risk - High Value
CUST0879,Central,253,27,89153.9,At Risk - High Value
CUST0345,East,216,25,86183.21,At Risk - High Value
CUST0595,East,210,35,79999.19,At Risk - High Value
CUST0842,East,234,40,69592.22,At Risk - High Value
CUST0057,East,293,41,68413.25,At Risk - High Value
CUST0507,East,352,47,65787.24,At Risk - High Value
CUST0297,Central,252,34,65734.52,At Risk - High Value
CUST0287,West,220,25,65487.26,At Risk - High Value
CUST0313,East,153,25,59426.72,At Risk - High Value
CUST0424,West,336,42,59377.24,At Risk - High Value
CUST0536,South,232,41,59119.03,At Risk - High Value
CUST0407,West,209,38,58926.2,At Risk - High Value
CUST0986,West,337,33,56589.87,At Risk - High Value
CUST0391,East,310,45,56053.79,At Risk - High Value
CUST0166,North,216,26,49880.25,At Risk - High Value
CUST0012,West,207,24,49148.8,At Risk - High Value
CUST0930,West,254,30,48817.03,At Risk - High Value
CUST0875,South,320,43,47807.27,At Risk - High Value
CUST0359,North,285,46,47761.04,At Risk - High Value
CUST0245,Central,166,13,46611.21,At Risk - High Value
CUST0559,East,336,35,45630.99,At Risk - High Value
CUST0675,West,304,46,45612.5,At Risk - High Value
CUST0652,Central,290,34,45374.72,At Risk - High Value
CUST0459,South,168,19,44878.09,At Risk - High Value
CUST0725,Central,156,35,41769.18,At Risk - High Value
CUST0707,South,300,42,41287.26,At Risk - High Value
CUST0928,North,148,36,41282.82,At Risk - High Value
CUST0523,North,364,39,41010.53,At Risk - High Value
CUST0988,South,286,32,40636.86,At Risk - High Value
CUST0787,South,281,24,40355.69,At Risk - High Value
CUST0938,Central,212,30,40237.54,At Risk - High Value
CUST0967,West,249,22,40209.1,At Risk - High Value
CUST0438,South,243,45,39869.81,At Risk - High Value
CUST0960,Central,193,17,39664.54,At Risk - High Value
CUST0610,South,167,16,39594.69,At Risk - High Value
CUST0386,East,364,41,39497.66,At Risk - High Value
CUST0616,East,304,35,38715.98,At Risk - High Value
CUST0510,West,287,41,38673.29,At Risk - High Value
CUST0532,West,327,37,37830.03,At Risk - High Value
CUST0627,Central,221,42,37726.36,At Risk - High Value
CUST0433,North,310,35,37284.18,At Risk - High Value
CUST0302,Central,184,18,35580.07,At Risk - High Value
CUST0574,West,274,36,35195.92,At Risk - High Value
CUST0410,North,336,46,34990.88,At Risk - High Value
CUST0003,South,221,36,34682.55,At Risk - High Value
CUST0155,West,271,36,33856.57,At Risk - High Value
CUST0802,West,332,40,33437.65,At Risk - High Value
CUST0537,North,257,37,32964.68,At Risk - High Value
CUST0051,North,358,48,32852.37,At Risk - High Value
CUST0152,East,362,34,32572.06,At Risk - High Value
CUST0073,West,328,49,32419.98,At Risk - High Value
CUST0596,South,214,42,31333.06,At Risk - High Value
CUST0428,East,269,37,31167.77,At Risk - High Value
CUST0065,South,156,33,30759.2,At Risk - High Value
CUST0061,Central,247,32,30626.95,At Risk - High Value
CUST0809,North,256,33,30325.67,At Risk - High Value
CUST0454,East,354,49,30222.51,At Risk - High Value
CUST0227,East,285,33,29818.38,At Risk - High Value
CUST0730,North,181,39,29335.86,At Risk - High Value
CUST0714,West,347,48,29294.32,At Risk - High Value
CUST0989,East,184,26,29175.82,At Risk - High Value
CUST0905,North,191,22,29163.45,At Risk - High Value
CUST0044,North,206,36,28657.71,At Risk - High Value
CUST0798,West,266,39,28043.64,At Risk - High Value
CUST0491,Central,215,36,27976.62,At Risk - High Value
CUST0501,Central,354,48,27923.69,At Risk - High Value
CUST0811,West,269,30,27645.57,At Risk - High Value
CUST0557,East,175,47,27518.19,At Risk - High Value
CUST0772,East,230,36,27101.95,At Risk - High Value
CUST0106,North,166,35,27024.07,At Risk - High Value
CUST0216,South,177,49,26675.8,At Risk - High Value
CUST0263,East,210,47,25756.76,At Risk - High Value
CUST0993,East,247,44,25697.5,At Risk - High Value
CUST0545,South,256,38,25485.37,At Risk - High Value
CUST0011,West,323,48,25452.28,At Risk - High Value
CUST0706,East,146,35,25241.79,At Risk - High Value
CUST0270,North,148,38,25223.36,At Risk - High Value
CUST0747,North,148,30,24825.07,At Risk - High Value
CUST0274,Central,329,48,24590.27,At Risk - High Value
CUST0851,North,260,40,24481.53,At Risk - High Value
CUST0173,Central,205,42,24466.6,At Risk - High Value
CUST0912,East,280,31,24431.81,At Risk - High Value
CUST0001,West,141,48,24428.4,At Risk - High Value
CUST0261,Central,279,37,24182.64,At Risk - High Value
CUST0162,South,157,45,23883.74,At Risk - High Value
CUST0104,South,321,48,23842.51,At Risk - High Value
CUST0282,North,198,43,23721.24,At Risk - High Value
CUST0931,West,250,40,23672.25,At Risk - High Value
CUST0476,South,207,23,23621.32,At Risk - High Value
CUST0469,North,265,47,23316.07,At Risk - High Value
CUST0496,North,269,37,23232.69,At Risk - High Value
