customer_id,region,segment,last_purchase_date,frequency,monetary_value,recency_days,product_category,channel,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST0001,West,B2B,2024-08-12,48,24428.4,141,Premium Pack,Online,3,5,4,12,At Risk - High Value
CUST0002,North,B2C,2024-03-10,12,43737.47,296,Premium Pack,Retail,1,2,5,8,Needs Attention
CUST0003,South,B2C,2024-05-24,36,34682.55,221,Bulk Pack,Retail,2,4,5,11,At Risk - High Value
CUST0004,East,Enterprise,2024-11-20,15,4532.81,41,Premium Pack,Field Sales,5,2,1,8,Potential Loyalists
CUST0005,East,B2C,2024-09-10,15,2036.07,112,Bulk Pack,Field Sales,4,2,1,7,Potential Loyalists
CUST0006,North,B2C,2024-04-11,35,5917.78,264,Economy Pack,Field Sales,2,4,2,8,Needs Attention
CUST0007,South,Enterprise,2024-08-14,20,24283.74,139,Trial Pack,Distributor,4,2,4,10,Loyal Customers
CUST0008,Central,Enterprise,2024-07-08,42,46037.72,176,Premium Pack,Retail,3,5,5,13,Champions
CUST0009,South,Enterprise,2024-03-07,19,25038.16,299,Standard Pack,Online,1,2,4,7,Needs Attention
CUST0010,East,B2B,2024-01-30,17,32004.56,336,Trial Pack,Online,1,2,5,8,Needs Attention
CUST0011,West,B2B,2024-02-12,48,25452.28,323,Premium Pack,Retail,1,5,4,10,At Risk - High Value
CUST0012,West,B2C,2024-06-07,24,49148.8,207,Economy Pack,Field Sales,3,3,5,11,At Risk - High Value
CUST0013,East,B2C,2024-07-28,38,6015.67,156,Standard Pack,Distributor,3,4,2,9,Potential Loyalists
CUST0014,Central,B2B,2024-09-22,17,7493.14,100,Premium Pack,Distributor,4,2,2,8,Potential Loyalists
CUST0015,North,B2B,2024-11-07,26,1572.33,54,Premium Pack,Distributor,5,3,1,9,Potential Loyalists
CUST0016,East,B2C,2024-08-30,47,25182.09,123,Standard Pack,Distributor,4,5,4,13,Champions
CUST0017,East,Enterprise,2024-10-11,25,7821.75,81,Premium Pack,Distributor,4,3,2,9,Potential Loyalists
CUST0018,East,Enterprise,2024-06-12,44,11906.01,202,Trial Pack,Online,3,5,3,11,At Risk - High Value
CUST0019,North,B2B,2024-07-19,28,6868.02,165,Economy Pack,Distributor,3,3,2,8,Potential Loyalists
CUST0020,South,B2C,2024-10-05,10,7942.62,87,Trial Pack,Distributor,4,1,2,7,Potential Loyalists
CUST0021,East,B2B,2024-01-12,8,20696.8,354,Economy Pack,Online,1,1,4,6,Hibernating
CUST0022,Central,B2B,2024-03-11,32,31405.32,295,Premium Pack,Field Sales,1,4,4,9,Needs Attention
CUST0023,South,Enterprise,2024-12-30,4,9128.86,1,Standard Pack,Distributor,5,1,2,8,Potential Loyalists
CUST0024,Central,Enterprise,2024-12-16,45,2831.68,15,Trial Pack,Retail,5,5,1,11,Loyal Customers
CUST0025,North,B2C,2024-09-14,14,3154.82,108,Premium Pack,Field Sales,4,2,1,7,Potential Loyalists
CUST0026,South,B2C,2024-03-02,9,19742.3,304,Premium Pack,Field Sales,1,1,4,6,Hibernating
CUST0027,East,B2C,2024-05-19,29,7151.43,226,Economy Pack,Distributor,2,3,2,7,Needs Attention
CUST0028,North,B2C,2024-05-22,10,144884.63,223,Economy Pack,Field Sales,2,1,5,8,Needs Attention
CUST0029,West,B2C,2024-09-12,15,36952.28,110,Economy Pack,Retail,4,2,5,11,Loyal Customers
CUST0030,West,B2C,2024-06-17,27,15520.07,197,Trial Pack,Field Sales,3,3,3,9,Potential Loyalists
CUST0031,South,Enterprise,2024-08-27,49,18332.21,126,Economy Pack,Distributor,4,5,3,12,Loyal Customers
CUST0032,South,Enterprise,2024-07-21,35,7897.15,163,Premium Pack,Field Sales,3,4,2,9,Potential Loyalists
CUST0033,South,B2B,2024-12-18,29,8403.73,13,Standard Pack,Field Sales,5,3,2,10,Loyal Customers
CUST0034,East,B2B,2024-12-06,12,42945.32,25,Standard Pack,Distributor,5,2,5,12,Loyal Customers
CUST0035,South,B2C,2024-07-01,26,3639.19,183,Bulk Pack,Distributor,3,3,1,7,Potential Loyalists
CUST0036,West,Enterprise,2024-12-08,48,2700.27,23,Premium Pack,Retail,5,5,1,11,Loyal Customers
CUST0037,Central,B2C,2024-12-25,23,5202.33,6,Premium Pack,Field Sales,5,3,2,10,Loyal Customers
CUST0038,West,B2B,2024-04-14,15,11103.05,261,Trial Pack,Field Sales,2,2,3,7,Needs Attention
CUST0039,West,B2C,2024-05-16,2,24284.81,229,Standard Pack,Retail,2,1,4,7,Needs Attention
CUST0040,Central,B2B,2024-07-27,46,14955.94,157,Premium Pack,Online,3,5,3,11,At Risk - High Value
CUST0041,East,Enterprise,2024-02-26,30,52866.07,309,Trial Pack,Field Sales,1,3,5,9,Needs Attention
CUST0042,West,B2C,2024-05-22,19,16788.67,223,Economy Pack,Distributor,2,2,3,7,Needs Attention
CUST0043,Central,Enterprise,2024-11-26,47,18849.12,35,Trial Pack,Distributor,5,5,3,13,Champions
CUST0044,North,B2C,2024-06-08,36,28657.71,206,Standard Pack,Retail,3,4,4,11,At Risk - High Value
CUST0045,West,Enterprise,2024-02-02,2,2568.28,333,Economy Pack,Online,1,1,1,3,Hibernating
CUST0046,South,B2C,2024-12-13,8,18007.11,18,Economy Pack,Field Sales,5,1,3,9,Potential Loyalists
CUST0047,East,Enterprise,2024-08-02,5,4453.41,151,Bulk Pack,Field Sales,3,1,1,5,Hibernating
CUST0048,Central,B2B,2024-07-13,22,4208.76,171,Standard Pack,Distributor,3,3,1,7,Potential Loyalists
CUST0049,North,B2B,2024-08-20,8,40145.91,133,Trial Pack,Distributor,4,1,5,10,Loyal Customers
CUST0050,Central,B2C,2024-05-24,2,7290.48,221,Trial Pack,Retail,2,1,2,5,Hibernating
CUST0051,North,Enterprise,2024-01-08,48,32852.37,358,Economy Pack,Distributor,1,5,5,11,At Risk - High Value
CUST0052,North,B2B,2024-05-18,8,49859.11,227,Premium Pack,Distributor,2,1,5,8,Needs Attention
CUST0053,South,B2C,2024-04-27,6,12806.41,248,Economy Pack,Distributor,2,1,3,6,Hibernating
CUST0054,North,B2C,2024-09-28,47,988.16,94,Standard Pack,Online,4,5,1,10,Loyal Customers
CUST0055,North,Enterprise,2024-11-18,6,7702.94,43,Standard Pack,Distributor,5,1,2,8,Potential Loyalists
CUST0056,South,Enterprise,2024-09-20,26,25249.31,102,Trial Pack,Online,4,3,4,11,Loyal Customers
CUST0057,East,Enterprise,2024-03-13,41,68413.25,293,Standard Pack,Retail,1,5,5,11,At Risk - High Value
CUST0058,South,B2C,2024-08-13,5,35535.37,140,Trial Pack,Retail,4,1,5,10,Loyal Customers
CUST0059,Central,B2C,2024-02-05,29,101111.55,330,Premium Pack,Online,1,3,5,9,Needs Attention
CUST0060,Central,B2C,2024-09-29,48,3635.77,93,Standard Pack,Retail,4,5,1,10,Loyal Customers
CUST0061,Central,B2B,2024-04-28,32,30626.95,247,Standard Pack,Retail,2,4,4,10,At Risk - High Value
CUST0062,Central,Enterprise,2024-02-04,37,16732.97,331,Trial Pack,Online,1,4,3,8,Needs Attention
CUST0063,East,B2B,2024-11-22,2,4472.47,39,Trial Pack,Online,5,1,1,7,Potential Loyalists
CUST0064,East,B2C,2024-09-03,32,9438.17,119,Premium Pack,Distributor,4,4,2,10,Loyal Customers
CUST0065,South,B2C,2024-07-28,33,30759.2,156,Bulk Pack,Retail,3,4,4,11,At Risk - High Value
CUST0066,South,Enterprise,2024-11-26,2,9906.9,35,Standard Pack,Online,5,1,2,8,Potential Loyalists
