month,year,month_num,revenue,units_sold,new_customers,avg_deal_size,sales_cycle_days,win_rate_pct
2022-01,2022,1,1023439.06,331,27,5915.83,60,41.93
2022-02,2022,2,1099091.99,375,68,9008.95,24,31.03
2022-03,2022,3,1242465.95,398,77,7223.64,24,36.84
2022-04,2022,4,1306529.3,461,80,16331.62,40,35.49
2022-05,2022,5,1277683.66,451,69,7301.05,73,59.84
2022-06,2022,6,1500094.0,507,90,10417.32,17,52.7
2022-07,2022,7,1336870.16,463,62,7595.85,38,34.46
2022-08,2022,8,1389447.57,452,24,17153.67,40,54.62
2022-09,2022,9,1230286.73,418,87,6990.27,32,33.43
2022-10,2022,10,1207152.47,402,61,8684.55,36,53.41
2022-11,2022,11,1096394.89,374,45,9136.62,17,44.66
2022-12,2022,12,1094646.04,388,117,8292.77,66,61.96
2023-01,2023,1,1148680.35,373,116,13203.22,83,28.64
2023-02,2023,2,1197223.36,388,26,8675.53,47,64.17
2023-03,2023,3,1318393.48,430,83,7990.26,80,25.72
2023-04,2023,4,1442632.84,485,116,9428.97,42,34.64
2023-05,2023,5,1322999.16,426,117,10933.88,52,45.58
2023-06,2023,6,1523986.14,521,93,9896.01,35,25.28
2023-07,2023,7,1491185.07,468,72,12123.46,25,40.98
2023-08,2023,8,1445533.05,486,55,8030.74,74,32.58
2023-09,2023,9,1236906.35,399,59,8589.63,19,38.32
2023-10,2023,10,1280376.8,430,77,10850.65,26,59.62
2023-11,2023,11,1132459.01,396,94,6434.43,88,26.7
2023-12,2023,12,1175978.8,411,57,10788.8,55,62.01
2024-01,2024,1,1170351.33,368,119,7961.57,24,39.84
2024-02,2024,2,1224482.31,407,111,8109.15,43,35.67
2024-03,2024,3,1370669.33,445,44,8257.04,35,28.04
2024-04,2024,4,1476962.89,482,27,17376.03,67,45.79
2024-05,2024,5,1659944.9,566,82,9939.79,20,27.56
2024-06,2024,6,1597036.7,541,60,16810.91,73,62.44
2024-07,2024,7,1579697.97,501,23,14763.53,86,29.96
2024-08,2024,8,1401152.79,476,60,13094.89,89,39.07
2024-09,2024,9,1395949.11,453,70,10340.36,87,40.93
2024-10,2024,10,1327173.34,444,25,9617.2,26,38.13
2024-11,2024,11,1200622.94,381,109,13800.26,57,59.48
2024-12,2024,12,1244205.34,406,41,7825.19,80,40.75
