month,revenue,MA_3M,MA_6M,MA_12M
2022-01-01,1023439.06,,,
2022-02-01,1099091.99,,,
2022-03-01,1242465.95,1121665.6666666667,,
2022-04-01,1306529.3,1216029.08,,
2022-05-01,1277683.66,1275559.6366666665,,
2022-06-01,1500094.0,1361435.6533333333,1241550.66,
2022-07-01,1336870.16,1371549.2733333334,1293789.1766666668,
2022-08-01,1389447.57,1408803.9100000001,1342181.7733333334,
2022-09-01,1230286.73,1318868.1533333333,1340151.9033333333,
2022-10-01,1207152.47,1275628.923333333,1323589.0983333334,
2022-11-01,1096394.89,1177944.6966666665,1293374.3033333335,
2022-12-01,1094646.04,1132731.1333333333,1225799.6433333333,1233675.1516666666
2023-01-01,1148680.35,1113240.4266666665,1194434.675,1244111.9258333333
2023-02-01,1197223.36,1146849.9166666667,1162397.3066666669,1252289.5399999998
2023-03-01,1318393.48,1221432.3966666667,1177081.765,1258616.8341666667
2023-04-01,1442632.84,1319416.56,1216328.4933333334,1269958.7958333332
2023-05-01,1322999.16,1361341.826666667,1254095.8716666666,1273735.0875000001
2023-06-01,1523986.14,1429872.7133333331,1325652.555,1275726.0991666669
2023-07-01,1491185.07,1446056.79,1382736.675,1288585.675
2023-08-01,1445533.05,1486901.42,1424121.6233333333,1293259.465
2023-09-01,1236906.35,1391208.1566666667,1410540.4349999998,1293811.0999999999
2023-10-01,1280376.8,1320938.7333333334,1383497.7616666667,1299913.1275
2023-11-01,1132459.01,1216580.72,1351741.07,1302918.4708333334
2023-12-01,1175978.8,1196271.5366666669,1293739.8466666667,1309696.2008333334
2024-01-01,1170351.33,1159596.3800000001,1240267.5566666669,1311502.1158333335
2024-02-01,1224482.31,1190270.8133333335,1203425.7666666668,1313773.695
2024-03-01,1370669.33,1255167.656666667,1225719.5966666667,1318130.0158333334
2024-04-01,1476962.89,1357371.51,1258483.945,1320990.8533333333
2024-05-01,1659944.9,1502525.7066666663,1346398.26,1349069.665
2024-06-01,1597036.7,1577981.4966666664,1416574.5766666664,1355157.2116666667
2024-07-01,1579697.97,1612226.5233333334,1484799.0166666666,1362533.2866666666
2024-08-01,1401152.79,1525962.4866666666,1514244.0966666667,1358834.9316666666
2024-09-01,1395949.11,1458933.29,1518457.3933333333,1372088.4949999999
2024-10-01,1327173.34,1374758.4133333333,1493492.468333333,1375988.2066666668
2024-11-01,1200622.94,1307915.1300000001,1416938.8083333333,1381668.5341666667
2024-12-01,1244205.34,1257333.8733333333,1358133.5816666668,1387354.0791666666
